id,title,url
KH7AMSscDLyEo7cug,オープニングメッセージ,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/KH7AMSscDLyEo7cug
bvqjTtbHy2Xmt3g4f,データクラウドの高まり,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/bvqjTtbHy2Xmt3g4f
9WmLmTroBxMntKo3E,Disney+ におけるデータクラウドの活用,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/9WmLmTroBxMntKo3E
QJdzQSAFBuvCC9Z3r,データクラウドの次にくる世界,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/QJdzQSAFBuvCC9Z3r
MDcyudn6wSxzMfooN,Quick intro for the afternoon session,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/MDcyudn6wSxzMfooN
99zhk8qKN44xKFWcd,あらゆる業界での変化を加速させるデータクラウド,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/99zhk8qKN44xKFWcd
9BcuCggQtdaTtw9bM,Informaticaによるプレゼンテーション,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/9BcuCggQtdaTtw9bM
vppzYTxcqMFmkP5jT,Maximizing Your Superhero Journey,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/vppzYTxcqMFmkP5jT
uQnw9nXC9DZerRR9J,マーケティングリサーチ国内トップのインテージグループがSnowflakeを選んだ理由,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/uQnw9nXC9DZerRR9J
4jo3B9wo3DfeeESYH,Snowflake for Startup: Data CTOs Panel,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/4jo3B9wo3DfeeESYH
2674bFZwfWLup2X5H,AWSやSnowflakeの利用により顧客の成果を向上させる,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/2674bFZwfWLup2X5H
nr87LCNTa2b6ozcRc,統合された金融情報コンテンツで投資プロセスを高度化,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/nr87LCNTa2b6ozcRc
wMz93kxmG8EBeFkcL,Building on Snowflake: Developer’s Chat + Snowflake Labs,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/wMz93kxmG8EBeFkcL
wpHmd9PYM28P9FL7h,Alationによるプレゼンテーション,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/wpHmd9PYM28P9FL7h
zsWkHwxsaPWctauHY,Snowflake for Startups: Emerging Opportunities in Data,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/zsWkHwxsaPWctauHY
H7PMNwk7Ru2xCYFsY,広告配信プロダクトのSnowflakeへの移行 爆速で社内データ基盤をSnowflakeにしてみた話,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/H7PMNwk7Ru2xCYFsY
xAcp3fdDGCHDHWRF5,インフォマティカ　X　Snowflake で実現する次世代のクラウドデータウェアハウス,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/xAcp3fdDGCHDHWRF5
6AHzgY2x7FTAWBXLA,SkyPerfect TV JSAT - JA,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/6AHzgY2x7FTAWBXLA
aWh3KQEiMKHNeJiB5,Dataiku：データサイエンスに命を吹き込む,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/aWh3KQEiMKHNeJiB5
wzSEtnC2pYmpkig55,The Community-Driven Activity Every Snowflake User Should Participate In,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/wzSEtnC2pYmpkig55
xDRDH8QEH8C9sQvuM,現在から未来へ：クラウドデータ移行の戦略を創る,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/xDRDH8QEH8C9sQvuM
zzKEJB5DHqxe4fwma,ニアリアルタイムのクラウドアナリティクスによるサプライチェーンのモダナイズ,snowflake.events.cube365.net/snowflake/summit-2020-ja/content/Videos/zzKEJB5DHqxe4fwma
